Global Step,Epoch,Train Loss,Train Accuracy,Learning Rate,Gradient Norm
5,0.008,3.4714,0.47,0.0,4.1031
10,0.016,3.1472,0.4644,0.0001,2.247
5,0.008,3.4714,0.47,0.0,4.0796
10,0.016,3.1484,0.4648,0.0001,2.23
15,0.024,2.4965,0.4923,0.0001,1.41
20,0.032,2.0995,0.5626,0.0001,1.0975
25,0.04,1.8461,0.6171,0.0001,0.8153
30,0.048,1.7217,0.6341,0.0001,0.6551
35,0.056,1.685,0.6455,0.0001,0.6705
40,0.064,1.6549,0.6573,0.0001,0.651
45,0.072,1.6219,0.6666,0.0001,0.6064
50,0.08,1.58,0.6724,0.0001,0.7194
55,0.088,1.5146,0.66,0.0001,0.599
60,0.096,1.4795,0.6691,0.0001,0.6831
65,0.104,1.4969,0.6651,0.0001,0.5417
70,0.112,1.5494,0.6612,0.0001,0.5092
75,0.12,1.5663,0.6588,0.0001,0.5234
80,0.128,1.57,0.6621,0.0001,0.5805
85,0.136,1.553,0.6684,0.0001,0.496
90,0.144,1.5376,0.6708,0.0001,0.5188
95,0.152,1.5661,0.6686,0.0001,0.5308
100,0.16,1.5278,0.6855,0.0001,0.5872
105,0.168,1.5107,0.6614,0.0001,0.6368
110,0.176,1.4534,0.6696,0.0001,0.5454
115,0.184,1.5074,0.6627,0.0001,0.5016
120,0.192,1.4922,0.6704,0.0001,0.4968
125,0.2,1.5902,0.6567,0.0001,0.5155
130,0.208,1.5647,0.6618,0.0001,0.5202
135,0.216,1.5477,0.6658,0.0001,0.5107
140,0.224,1.6095,0.6579,0.0001,0.5253
145,0.232,1.5355,0.6736,0.0001,0.5057
150,0.24,1.5253,0.6829,0.0001,0.6022
155,0.248,1.4894,0.6648,0.0001,0.654
160,0.256,1.4001,0.6757,0.0001,0.4999
165,0.264,1.497,0.6634,0.0001,0.518
170,0.272,1.5221,0.6665,0.0001,0.4756
175,0.28,1.5084,0.6692,0.0001,0.4899
180,0.288,1.4916,0.6724,0.0001,0.5167
185,0.296,1.546,0.665,0.0001,0.5
190,0.304,1.5822,0.6652,0.0001,0.4922
195,0.312,1.5483,0.6751,0.0001,0.5005
200,0.32,1.5218,0.6877,0.0001,0.6485
205,0.328,1.4343,0.6731,0.0001,0.6181
210,0.336,1.3879,0.6788,0.0001,0.4962
215,0.344,1.4475,0.6739,0.0001,0.5312
220,0.352,1.507,0.6694,0.0001,0.4652
225,0.36,1.5043,0.6733,0.0001,0.5085
230,0.368,1.4711,0.6757,0.0001,0.4688
235,0.376,1.4806,0.679,0.0001,0.4662
240,0.384,1.5329,0.6733,0.0001,0.5449
245,0.392,1.5426,0.6793,0.0001,0.4906
250,0.4,1.5085,0.6858,0.0001,0.5528
255,0.408,1.4852,0.6633,0.0001,0.5856
260,0.416,1.3787,0.6837,0.0001,0.4473
265,0.424,1.4503,0.6697,0.0001,0.5384
270,0.432,1.5174,0.6636,0.0001,0.4866
275,0.44,1.4502,0.6783,0.0001,0.443
280,0.448,1.5024,0.6703,0.0001,0.4664
285,0.456,1.511,0.6685,0.0001,0.4778
290,0.464,1.5124,0.6746,0.0001,0.5238
295,0.472,1.5366,0.6772,0.0001,0.5156
300,0.48,1.543,0.6839,0.0001,0.609
305,0.488,1.4683,0.665,0.0001,0.613
310,0.496,1.3712,0.6814,0.0001,0.4984
315,0.504,1.4542,0.673,0.0001,0.4792
320,0.512,1.5241,0.6665,0.0,0.4821
325,0.52,1.5135,0.6725,0.0,0.5022
330,0.528,1.5412,0.6666,0.0,0.4617
335,0.536,1.5274,0.6754,0.0,0.4781
340,0.544,1.5383,0.6711,0.0,0.4855
345,0.552,1.5256,0.6768,0.0,0.5082
350,0.56,1.4613,0.6889,0.0,0.594
355,0.568,1.39,0.6804,0.0,0.5856
360,0.576,1.3881,0.6814,0.0,0.5201
365,0.584,1.4182,0.6767,0.0,0.4736
370,0.592,1.4531,0.6748,0.0,0.4803
375,0.6,1.538,0.6628,0.0,0.4746
380,0.608,1.4689,0.6764,0.0,0.4702
385,0.616,1.513,0.6674,0.0,0.4734
390,0.624,1.5318,0.6733,0.0,0.4672
395,0.632,1.5094,0.682,0.0,0.4784
400,0.64,1.4384,0.6987,0.0,0.6015
405,0.648,1.3601,0.6807,0.0,0.6192
410,0.656,1.4089,0.6808,0.0,0.5095
415,0.664,1.4706,0.6677,0.0,0.5432
420,0.672,1.4481,0.6773,0.0,0.4833
425,0.68,1.4754,0.6775,0.0,0.5062
430,0.688,1.4969,0.6686,0.0,0.4701
435,0.696,1.5147,0.6725,0.0,0.4859
440,0.704,1.4762,0.6763,0.0,0.4929
445,0.712,1.5105,0.6807,0.0,0.4696
450,0.72,1.4909,0.6864,0.0,0.5983
455,0.728,1.3712,0.6832,0.0,0.5311
460,0.736,1.3857,0.6851,0.0,0.5158
465,0.744,1.415,0.6776,0.0,0.4562
470,0.752,1.4918,0.6733,0.0,0.4655
475,0.76,1.4564,0.677,0.0,0.4725
480,0.768,1.5073,0.6673,0.0,0.4973
485,0.776,1.5375,0.6665,0.0,0.5061
490,0.784,1.4949,0.6819,0.0,0.5128
495,0.792,1.5339,0.6789,0.0,0.5238
500,0.8,1.502,0.6813,0.0,0.7165
505,0.808,1.3882,0.6833,0.0,0.5105
510,0.816,1.3417,0.6872,0.0,0.5106
515,0.824,1.4225,0.6802,0.0,0.4495
520,0.832,1.4736,0.6739,0.0,0.4719
525,0.84,1.475,0.6731,0.0,0.4853
530,0.848,1.5038,0.6713,0.0,0.4861
535,0.856,1.4851,0.6798,0.0,0.5139
540,0.864,1.502,0.681,0.0,0.5439
545,0.872,1.515,0.6775,0.0,0.5767
550,0.88,1.4968,0.6853,0.0,0.7399
555,0.888,1.3725,0.6847,0.0,0.5008
560,0.896,1.3544,0.6886,0.0,0.5389
565,0.904,1.4332,0.6767,0.0,0.449
570,0.912,1.4784,0.6696,0.0,0.469
575,0.92,1.4646,0.675,0.0,0.4642
580,0.928,1.5197,0.6691,0.0,0.5113
585,0.936,1.5092,0.6738,0.0,0.4788
590,0.944,1.4819,0.6816,0.0,0.5127
595,0.952,1.4995,0.6822,0.0,0.5826
600,0.96,1.4632,0.6938,0.0,0.7295
605,0.968,1.3725,0.6853,0.0,0.4717
610,0.976,1.438,0.6787,0.0,0.457
615,0.984,1.4675,0.6751,0.0,0.4845
620,0.992,1.5269,0.6745,0.0,0.4727
625,1.0,1.5282,0.6793,0.0,0.6101
